u_id,act_strt_dt,brth_estb_yr,gnd_cd,mar_st_cd,ocp_cd,idv_incm_seg_cd,fam_incm_seg_cd,prim_seg_cd,prim_sub_seg_cd,ed_lvl_cd
cst_id067479,2014-03-05 00:00:00,1992.0,1.0,1.0,6.0,2.0,3.0,MI,N1,04
cst_id070086,2014-11-24 00:00:00,1960.0,2.0,2.0,2.0,7.0,5.0,MI,L2,04
cst_id064478,2013-05-13 00:00:00,1994.0,2.0,1.0,6.0,1.0,3.0,TC,O1,04
cst_id050604,2010-05-12 00:00:00,1985.0,1.0,1.0,1.0,4.0,7.0,MI,I3,04
cst_id068185,2014-05-08 00:00:00,1978.0,2.0,2.0,5.0,4.0,2.0,MI,K2,04
cst_id040556,2008-03-21 00:00:00,1952.0,2.0,2.0,5.0,2.0,3.0,MI,L3,
cst_id028314,2004-10-06 00:00:00,1961.0,2.0,1.0,9.0,5.0,3.0,MI,L2,03
cst_id000048,2000-07-27 00:00:00,1959.0,1.0,2.0,9.0,6.0,,LM,01,04
cst_id076743,2017-05-22 00:00:00,1993.0,1.0,1.0,6.0,1.0,1.0,TC,O1,04
cst_id001342,2001-07-11 00:00:00,1978.0,2.0,2.0,3.0,2.0,6.0,MI,K1,04
cst_id032985,2006-04-27 00:00:00,1975.0,2.0,1.0,4.0,4.0,2.0,TC,O5,03
cst_id065770,2013-09-05 00:00:00,1992.0,1.0,1.0,9.0,1.0,3.0,MI,L2,04
cst_id014469,1999-07-08 00:00:00,1957.0,1.0,2.0,4.0,10.0,7.0,SM,01,04
cst_id000849,1999-12-22 00:00:00,1963.0,1.0,1.0,4.0,4.0,4.0,MI,M1,04
cst_id003002,2003-06-23 00:00:00,1951.0,1.0,4.0,4.0,8.0,,XS,01,05
cst_id031451,2005-10-28 00:00:00,1985.0,2.0,2.0,9.0,,,MI,L2,
cst_id065761,2013-09-04 00:00:00,1975.0,2.0,1.0,5.0,8.0,6.0,TC,O5,04
cst_id040590,2008-03-24 00:00:00,1981.0,1.0,1.0,3.0,1.0,3.0,TC,O5,04
cst_id027921,2004-08-25 00:00:00,1981.0,2.0,1.0,4.0,7.0,2.0,MI,K3,05
cst_id000791,1986-07-07 00:00:00,1958.0,2.0,1.0,7.0,2.0,,MI,J3,
cst_id045885,2009-05-20 00:00:00,1982.0,2.0,1.0,4.0,5.0,3.0,MI,J2,05
cst_id050393,2010-12-08 00:00:00,1975.0,1.0,3.0,4.0,9.0,,SM,01,05
cst_id014526,1997-03-07 00:00:00,1980.0,1.0,1.0,1.0,5.0,7.0,MI,L2,05
cst_id013766,2001-04-19 00:00:00,1959.0,1.0,2.0,9.0,9.0,,MI,I3,05
cst_id035734,2007-01-16 00:00:00,1991.0,1.0,1.0,3.0,4.0,7.0,MI,G3,04
cst_id001568,2001-02-27 00:00:00,1979.0,2.0,1.0,1.0,1.0,,MI,L2,05
