u_id,cc_cst_no
cst_id067479,
cst_id070086,
cst_id064478,
cst_id050604,cc_cst_no024441
cst_id050604,cc_cst_no059696
cst_id068185,
cst_id040556,
cst_id028314,
cst_id000048,cc_cst_no020884
cst_id076743,
cst_id001342,
cst_id032985,
cst_id065770,
cst_id014469,cc_cst_no018730
cst_id000849,
cst_id003002,cc_cst_no001119
cst_id031451,
cst_id065761,
cst_id040590,
cst_id027921,cc_cst_no009869
cst_id000791,
cst_id045885,cc_cst_no068441
cst_id045885,cc_cst_no016098
cst_id050393,
cst_id014526,
cst_id013766,cc_cst_no009854
cst_id035734,cc_cst_no028176
cst_id001568,cc_cst_no008327
cst_id051084,
cst_id053589,cc_cst_no022450
cst_id051358,
cst_id031719,cc_cst_no062189
cst_id031719,cc_cst_no030370
cst_id041274,
cst_id022573,cc_cst_no003294
cst_id050444,cc_cst_no071679
cst_id055560,
cst_id007749,
cst_id040422,
cst_id058895,cc_cst_no049906
cst_id053861,
cst_id014093,cc_cst_no001225
cst_id060933,cc_cst_no030218
cst_id007153,cc_cst_no003163
cst_id025566,cc_cst_no017138
cst_id051270,cc_cst_no064073
cst_id051270,cc_cst_no034383
cst_id020771,cc_cst_no015672
cst_id020771,cc_cst_no015673
cst_id014006,cc_cst_no045567
cst_id052513,
cst_id009824,
cst_id022559,cc_cst_no003250
cst_id005448,cc_cst_no003593
cst_id029212,
cst_id011785,cc_cst_no047247
cst_id047105,cc_cst_no028434
cst_id032291,cc_cst_no014532
cst_id009867,cc_cst_no000933
cst_id000436,
cst_id055232,cc_cst_no066753
cst_id055232,cc_cst_no040968
cst_id004528,cc_cst_no003738
cst_id037890,
cst_id032153,cc_cst_no038745
cst_id014311,cc_cst_no015107
cst_id044169,cc_cst_no061291
cst_id044169,cc_cst_no028436
cst_id023768,cc_cst_no059888
cst_id023768,cc_cst_no024985
cst_id072785,
cst_id073582,
cst_id036656,cc_cst_no011314
cst_id022897,cc_cst_no026921
cst_id054771,
cst_id019306,
cst_id037118,cc_cst_no027615
cst_id054147,cc_cst_no024134
cst_id020131,cc_cst_no015758
cst_id020162,cc_cst_no016367
cst_id017743,
cst_id070723,
cst_id069040,cc_cst_no043146
cst_id022257,cc_cst_no001630
cst_id011162,
cst_id058302,cc_cst_no034463
cst_id076697,
cst_id009417,
cst_id030982,cc_cst_no016375
cst_id009615,cc_cst_no005180
cst_id002328,
cst_id007275,
cst_id042916,
cst_id059179,cc_cst_no061140
cst_id059179,cc_cst_no028119
cst_id001581,cc_cst_no007752
cst_id070202,
cst_id038388,
cst_id039568,cc_cst_no017515
cst_id037288,
cst_id045157,cc_cst_no014964
cst_id062561,
cst_id051154,
cst_id015619,cc_cst_no002540
cst_id010823,
cst_id007875,
cst_id070822,
cst_id069118,cc_cst_no049781
cst_id051751,
cst_id028406,
cst_id054417,
cst_id071865,
cst_id035031,cc_cst_no010536
cst_id031065,cc_cst_no028857
cst_id002706,
cst_id015232,cc_cst_no032693
cst_id056002,
cst_id073743,
cst_id019737,
cst_id030880,cc_cst_no041159
cst_id045236,
cst_id013107,
cst_id016424,
cst_id005546,
cst_id004178,cc_cst_no017266
cst_id075589,
cst_id060082,
cst_id076637,
cst_id022193,cc_cst_no001142
cst_id069157,
cst_id006773,cc_cst_no002946
cst_id064337,
cst_id000458,cc_cst_no032156
cst_id060106,
cst_id070847,
cst_id075146,
cst_id011287,cc_cst_no007840
cst_id038555,
cst_id029715,
cst_id008363,
cst_id045336,cc_cst_no059336
cst_id064995,
cst_id044117,
cst_id050197,
cst_id019433,
cst_id054868,cc_cst_no074718
cst_id054868,cc_cst_no057602
cst_id016638,cc_cst_no052258
cst_id003349,
cst_id037247,
cst_id076017,
cst_id048070,
cst_id077086,
cst_id068630,
cst_id070670,
cst_id040124,cc_cst_no023670
cst_id076010,
cst_id068089,
cst_id015628,
cst_id018336,cc_cst_no023234
cst_id009148,cc_cst_no001424
cst_id010632,
cst_id043536,cc_cst_no029351
cst_id036094,cc_cst_no046483
cst_id037268,
cst_id076594,
cst_id012016,
cst_id018280,cc_cst_no075334
cst_id052467,
cst_id036081,
cst_id000231,
cst_id016164,
cst_id052436,cc_cst_no074828
cst_id052436,cc_cst_no057522
cst_id024182,
cst_id041552,
cst_id002323,cc_cst_no001354
cst_id070054,
cst_id018408,cc_cst_no011873
cst_id018408,cc_cst_no059632
cst_id060241,
cst_id067869,
cst_id040583,cc_cst_no051804
cst_id062834,
cst_id001003,
cst_id044614,cc_cst_no032583
cst_id007940,cc_cst_no001824
cst_id076749,
cst_id019988,cc_cst_no032356
cst_id019988,cc_cst_no063208
cst_id025987,
cst_id041115,cc_cst_no018545
cst_id019225,
cst_id073404,
cst_id070966,
cst_id040886,cc_cst_no013510
cst_id054063,cc_cst_no046211
cst_id069856,
cst_id077001,
cst_id059171,
cst_id074856,
cst_id051673,
cst_id076750,
cst_id072424,
cst_id071690,cc_cst_no076130
cst_id040039,
cst_id043509,cc_cst_no058461
cst_id043509,cc_cst_no018581
cst_id060056,
cst_id038289,
cst_id043915,
cst_id014234,
cst_id044998,cc_cst_no014906
cst_id045391,
cst_id017894,
cst_id026997,
cst_id065995,
cst_id043169,
cst_id049847,cc_cst_no044734
cst_id049847,cc_cst_no059322
cst_id013266,
cst_id036519,
cst_id017291,
cst_id077236,
cst_id013471,
cst_id043744,
cst_id043334,cc_cst_no039308
cst_id050453,cc_cst_no048556
cst_id041020,
cst_id017342,
cst_id074083,
cst_id010817,
cst_id018944,
cst_id040374,
cst_id063606,
cst_id047521,
cst_id078828,
cst_id053716,
cst_id070069,
cst_id024692,
cst_id078809,
cst_id077879,
cst_id013669,
cst_id076795,
cst_id019637,
cst_id002266,cc_cst_no001404
cst_id066753,
cst_id061754,cc_cst_no031395
cst_id041837,
cst_id028094,cc_cst_no029260
cst_id036730,
cst_id035965,cc_cst_no024169
cst_id048629,cc_cst_no058466
cst_id048629,cc_cst_no017535
cst_id075728,
cst_id045585,
cst_id016275,cc_cst_no012061
cst_id029897,
cst_id021221,cc_cst_no057876
cst_id062774,cc_cst_no033059
cst_id032356,
cst_id060151,
cst_id070224,
cst_id075395,
cst_id076546,cc_cst_no053150
cst_id010581,cc_cst_no058097
cst_id010581,cc_cst_no015532
cst_id077742,
cst_id059333,cc_cst_no028290
cst_id010870,
cst_id073790,
cst_id077635,
cst_id027083,cc_cst_no058746
cst_id066756,
cst_id014352,
cst_id067021,
cst_id007677,
cst_id063546,
cst_id017751,
cst_id011231,
cst_id032207,
cst_id063852,
cst_id006403,cc_cst_no009023
cst_id078149,
cst_id077771,
cst_id066656,
cst_id046273,
cst_id078222,
cst_id012265,cc_cst_no033298
cst_id055727,
cst_id052724,cc_cst_no036937
cst_id044871,
cst_id007277,cc_cst_no000858
cst_id047193,
cst_id058360,
cst_id077590,
cst_id000988,
cst_id078281,
cst_id060257,
cst_id048827,
cst_id043869,
cst_id067020,cc_cst_no056030
cst_id018650,cc_cst_no023894
cst_id070356,
cst_id010126,
cst_id076182,
cst_id073172,
cst_id040939,
cst_id059732,
cst_id057712,cc_cst_no032064
cst_id057712,cc_cst_no063050
cst_id048738,cc_cst_no038111
cst_id047581,
cst_id059815,cc_cst_no038415
cst_id008233,
cst_id042234,
cst_id062551,cc_cst_no040837
cst_id067171,
cst_id028419,
cst_id004106,cc_cst_no015169
cst_id041323,
cst_id034245,
cst_id047315,
cst_id071119,cc_cst_no057497
cst_id018433,cc_cst_no022472
cst_id065643,
cst_id015588,cc_cst_no009265
cst_id063853,
cst_id019833,cc_cst_no065671
cst_id019833,cc_cst_no037626
cst_id078454,
cst_id031748,
cst_id059183,
cst_id002574,cc_cst_no000475
cst_id062903,cc_cst_no033545
cst_id018044,
cst_id075018,
cst_id017800,
cst_id056373,
cst_id013716,cc_cst_no008248
cst_id002858,
cst_id069450,
cst_id039347,
cst_id000870,
cst_id011159,
cst_id015563,
cst_id019186,
cst_id037477,cc_cst_no060493
cst_id037477,cc_cst_no026484
cst_id020400,
cst_id078477,
cst_id063540,
cst_id030034,
cst_id044339,cc_cst_no017778
cst_id049334,
cst_id049195,
