u_id,sa_id
cst_id067479,sa_no081857
cst_id070086,sa_no149113
cst_id064478,sa_no070604
cst_id050604,sa_no069660
cst_id050604,sa_no069659
cst_id068185,sa_no133955
cst_id040556,sa_no132689
cst_id040556,sa_no137437
cst_id028314,sa_no071411
cst_id028314,sa_no091599
cst_id028314,sa_no067390
cst_id000048,sa_no093419
cst_id000048,sa_no000492
cst_id076743,sa_no033405
cst_id001342,sa_no082359
cst_id032985,sa_no065334
cst_id065770,sa_no015020
cst_id014469,sa_no123422
cst_id014469,sa_no108914
cst_id014469,sa_no037750
cst_id014469,sa_no052661
cst_id000849,sa_no059527
cst_id000849,sa_no102838
cst_id003002,sa_no045500
cst_id003002,sa_no045596
cst_id003002,sa_no143266
cst_id003002,sa_no045680
cst_id031451,sa_no130219
cst_id031451,sa_no136384
cst_id065761,sa_no142553
cst_id040590,sa_no021195
cst_id040590,sa_no102678
cst_id027921,sa_no083627
cst_id027921,sa_no083607
cst_id000791,sa_no009418
cst_id000791,sa_no005899
cst_id045885,sa_no081130
cst_id045885,sa_no130964
cst_id045885,sa_no003907
cst_id045885,sa_no116332
cst_id045885,sa_no005281
cst_id045885,sa_no081078
cst_id045885,sa_no094482
cst_id045885,sa_no008466
cst_id050393,sa_no080317
cst_id050393,sa_no080316
cst_id014526,sa_no020048
cst_id014526,sa_no002549
cst_id014526,sa_no067042
cst_id013766,sa_no120181
cst_id013766,sa_no120341
cst_id035734,sa_no119457
cst_id035734,sa_no119485
cst_id035734,sa_no119408
cst_id035734,sa_no013588
cst_id001568,sa_no139734
cst_id001568,sa_no023116
cst_id051084,sa_no074207
cst_id053589,sa_no078638
cst_id051358,sa_no097665
cst_id031719,sa_no070636
cst_id031719,sa_no070603
cst_id031719,sa_no064632
cst_id031719,sa_no090993
cst_id031719,sa_no038540
cst_id031719,sa_no089989
cst_id041274,sa_no048155
cst_id041274,sa_no011731
cst_id041274,sa_no024798
cst_id022573,sa_no140423
cst_id022573,sa_no116899
cst_id050444,sa_no126351
cst_id050444,sa_no019117
cst_id050444,sa_no015996
cst_id055560,sa_no118487
cst_id055560,sa_no038552
cst_id007749,sa_no064889
cst_id040422,sa_no074519
cst_id040422,sa_no047426
cst_id058895,sa_no030310
cst_id058895,sa_no106317
cst_id058895,sa_no046843
cst_id058895,sa_no041801
cst_id053861,sa_no136571
cst_id053861,sa_no040190
cst_id014093,sa_no016266
cst_id014093,sa_no009984
cst_id014093,sa_no143158
cst_id014093,sa_no016267
cst_id060933,sa_no115260
cst_id060933,sa_no115251
cst_id007153,
cst_id025566,sa_no136199
cst_id025566,sa_no071374
cst_id051270,sa_no107435
cst_id051270,sa_no047359
cst_id020771,sa_no114172
cst_id020771,sa_no112902
cst_id020771,sa_no095181
cst_id020771,sa_no147336
cst_id014006,sa_no121071
cst_id052513,sa_no088895
cst_id009824,sa_no074483
cst_id022559,sa_no025857
cst_id005448,sa_no108783
cst_id005448,sa_no121348
cst_id005448,sa_no056694
cst_id005448,sa_no073480
cst_id005448,sa_no070088
cst_id005448,sa_no056832
cst_id005448,sa_no073475
cst_id005448,sa_no083662
cst_id005448,sa_no102723
cst_id005448,sa_no111957
cst_id005448,sa_no056795
cst_id029212,sa_no026001
cst_id011785,sa_no062697
cst_id011785,sa_no062723
cst_id011785,sa_no084477
cst_id011785,sa_no069522
cst_id011785,sa_no067683
cst_id047105,sa_no038093
cst_id032291,sa_no058535
cst_id009867,sa_no074757
cst_id009867,sa_no074760
cst_id009867,sa_no074775
cst_id009867,sa_no074758
cst_id009867,sa_no074761
cst_id000436,sa_no002013
cst_id000436,sa_no001936
cst_id055232,sa_no114047
cst_id055232,sa_no114055
cst_id055232,sa_no113958
cst_id004528,sa_no091273
cst_id037890,sa_no097309
cst_id032153,sa_no126539
cst_id014311,sa_no121066
cst_id014311,sa_no109222
cst_id014311,sa_no026722
cst_id044169,sa_no093005
cst_id023768,sa_no075523
cst_id072785,sa_no007983
cst_id072785,sa_no005099
cst_id073582,sa_no010317
cst_id036656,sa_no104521
cst_id022897,sa_no141788
cst_id054771,sa_no133682
cst_id054771,sa_no129812
cst_id054771,sa_no009968
cst_id054771,sa_no109631
cst_id019306,sa_no108893
cst_id019306,sa_no108910
cst_id037118,sa_no029628
cst_id037118,sa_no057024
cst_id037118,sa_no128374
cst_id037118,sa_no128215
cst_id054147,sa_no088837
cst_id054147,sa_no088862
cst_id054147,sa_no088850
cst_id020131,sa_no117341
cst_id020162,sa_no147130
cst_id020162,sa_no054302
cst_id020162,sa_no112728
cst_id020162,sa_no078668
cst_id017743,sa_no141441
cst_id070723,sa_no146802
cst_id069040,sa_no114550
cst_id022257,sa_no014209
cst_id011162,sa_no090384
cst_id058302,sa_no145820
cst_id058302,sa_no112115
cst_id058302,sa_no112181
cst_id058302,sa_no107496
cst_id076697,sa_no033154
cst_id076697,sa_no049955
cst_id009417,sa_no072394
cst_id030982,sa_no127430
cst_id009615,sa_no073431
cst_id002328,sa_no034215
cst_id007275,sa_no062788
cst_id007275,sa_no116554
cst_id007275,sa_no116523
cst_id042916,sa_no090584
cst_id059179,sa_no037510
cst_id059179,sa_no117034
cst_id001581,sa_no024565
cst_id001581,sa_no024304
cst_id070202,sa_no057637
cst_id070202,sa_no037252
cst_id038388,sa_no033112
cst_id039568,sa_no136039
cst_id039568,sa_no036966
cst_id037288,sa_no130913
cst_id045157,sa_no113027
cst_id062561,sa_no132109
cst_id051154,sa_no087037
cst_id051154,sa_no023252
cst_id015619,sa_no006651
cst_id015619,sa_no039353
cst_id015619,sa_no132311
cst_id015619,sa_no133204
cst_id010823,sa_no090046
cst_id007875,sa_no108687
cst_id070822,sa_no079678
cst_id070822,sa_no044411
cst_id069118,sa_no142161
cst_id069118,sa_no020562
cst_id069118,sa_no080100
cst_id051751,sa_no066392
cst_id051751,sa_no139929
cst_id051751,sa_no029701
cst_id028406,sa_no104029
cst_id054417,sa_no064592
cst_id071865,sa_no110324
cst_id035031,sa_no129803
cst_id035031,sa_no053665
cst_id035031,sa_no028743
cst_id031065,sa_no107034
cst_id002706,sa_no018808
cst_id002706,sa_no040551
cst_id002706,sa_no148417
cst_id002706,sa_no027158
cst_id015232,sa_no129012
cst_id056002,sa_no094022
cst_id073743,sa_no011420
cst_id019737,
cst_id030880,sa_no148832
cst_id045236,sa_no104500
cst_id045236,sa_no104579
cst_id045236,sa_no104535
cst_id013107,sa_no114944
cst_id013107,sa_no047809
cst_id016424,sa_no083103
cst_id016424,sa_no083112
cst_id016424,sa_no001065
cst_id016424,sa_no083125
cst_id005546,sa_no057057
cst_id004178,sa_no053020
cst_id004178,sa_no062083
cst_id075589,sa_no024073
cst_id060082,sa_no090630
cst_id060082,sa_no114446
cst_id076637,sa_no032096
cst_id022193,sa_no071664
cst_id022193,sa_no072023
cst_id022193,sa_no114431
cst_id022193,sa_no071737
cst_id022193,sa_no072013
cst_id022193,sa_no072038
cst_id022193,sa_no017150
cst_id022193,sa_no072011
cst_id022193,sa_no072037
cst_id022193,sa_no063200
cst_id022193,sa_no085164
cst_id069157,sa_no143082
cst_id006773,sa_no061471
cst_id064337,sa_no086103
cst_id000458,sa_no057731
cst_id060106,sa_no007680
cst_id070847,sa_no030726
cst_id070847,sa_no079951
cst_id070847,sa_no043464
cst_id075146,sa_no021006
cst_id011287,sa_no131107
cst_id011287,sa_no057752
cst_id011287,sa_no048963
cst_id038555,sa_no014237
cst_id038555,sa_no076589
cst_id029715,sa_no012510
cst_id008363,sa_no015753
cst_id008363,sa_no067679
cst_id045336,sa_no097454
cst_id064995,sa_no124242
cst_id044117,sa_no084796
cst_id050197,sa_no065842
cst_id050197,sa_no015261
cst_id019433,sa_no123814
cst_id054868,sa_no036924
cst_id054868,sa_no047715
cst_id016638,sa_no114358
cst_id003349,sa_no121641
cst_id037247,sa_no135063
cst_id037247,sa_no135059
cst_id076017,sa_no027742
cst_id048070,sa_no117500
cst_id077086,sa_no036017
cst_id068630,sa_no082474
cst_id070670,sa_no142370
cst_id040124,sa_no046266
cst_id076010,sa_no027686
cst_id068089,sa_no071343
cst_id015628,sa_no124923
cst_id015628,sa_no133210
cst_id015628,sa_no139385
cst_id018336,sa_no020704
cst_id009148,sa_no070883
cst_id009148,sa_no070868
cst_id009148,sa_no070874
cst_id010632,sa_no143360
cst_id043536,sa_no067669
cst_id036094,sa_no110275
cst_id036094,sa_no128506
cst_id037268,sa_no086256
cst_id076594,sa_no031879
cst_id012016,sa_no085536
cst_id012016,sa_no037420
cst_id012016,sa_no085544
cst_id012016,sa_no085560
cst_id018280,sa_no123922
cst_id018280,sa_no021696
cst_id018280,sa_no088831
cst_id052467,sa_no147556
cst_id052467,sa_no049611
cst_id036081,sa_no062613
cst_id000231,sa_no050035
cst_id000231,sa_no089721
cst_id000231,sa_no084508
cst_id016164,sa_no123036
cst_id052436,sa_no031392
cst_id024182,sa_no036234
cst_id041552,sa_no080822
cst_id002323,sa_no139628
cst_id002323,sa_no127859
cst_id002323,sa_no139698
cst_id002323,sa_no139724
cst_id002323,sa_no052099
cst_id002323,sa_no139743
cst_id002323,sa_no139798
cst_id002323,sa_no018363
cst_id070054,sa_no048899
cst_id070054,sa_no055887
cst_id070054,sa_no023322
cst_id018408,sa_no105525
cst_id060241,sa_no077570
cst_id067869,sa_no043187
cst_id040583,sa_no002497
cst_id040583,sa_no060390
cst_id040583,sa_no031559
cst_id040583,sa_no126519
cst_id062834,sa_no011291
cst_id001003,sa_no085968
cst_id044614,sa_no125492
cst_id007940,sa_no096669
cst_id007940,sa_no084073
cst_id007940,sa_no126067
cst_id007940,sa_no083973
cst_id007940,sa_no065950
cst_id007940,sa_no084059
cst_id076749,sa_no033469
cst_id019988,sa_no098126
cst_id025987,sa_no014562
cst_id025987,sa_no049647
cst_id025987,sa_no021373
cst_id025987,sa_no066968
cst_id041115,sa_no124181
cst_id019225,sa_no080881
cst_id073404,sa_no009057
cst_id070966,sa_no138961
cst_id070966,sa_no047763
cst_id040886,sa_no035168
cst_id040886,sa_no077225
cst_id040886,sa_no094993
cst_id040886,sa_no100349
cst_id040886,sa_no103811
cst_id040886,sa_no095063
cst_id040886,sa_no022305
cst_id054063,sa_no136914
cst_id054063,sa_no147607
cst_id054063,sa_no147611
cst_id054063,sa_no080004
cst_id054063,sa_no142558
cst_id054063,sa_no088872
cst_id054063,sa_no088868
cst_id054063,sa_no147606
cst_id069856,sa_no095521
cst_id077001,sa_no035524
cst_id059171,sa_no015249
cst_id059171,sa_no049288
cst_id074856,sa_no018780
cst_id051673,sa_no147705
cst_id051673,sa_no147749
cst_id076750,sa_no033472
cst_id072424,sa_no002538
cst_id071690,sa_no106250
cst_id071690,sa_no005578
cst_id040039,sa_no065401
cst_id043509,sa_no035233
cst_id043509,sa_no121774
cst_id043509,sa_no135414
cst_id043509,sa_no035235
cst_id060056,sa_no112339
cst_id038289,sa_no079566
cst_id043915,sa_no049777
cst_id014234,sa_no082400
cst_id014234,sa_no121799
cst_id044998,sa_no087961
cst_id045391,sa_no055022
cst_id017894,sa_no141916
cst_id026997,sa_no013851
cst_id026997,sa_no045159
cst_id065995,sa_no043595
cst_id065995,sa_no084558
cst_id043169,sa_no069479
cst_id043169,sa_no115806
cst_id043169,sa_no021634
cst_id049847,sa_no063554
cst_id013266,sa_no093782
cst_id036519,sa_no028491
cst_id036519,sa_no107474
